Day,Treatment,Genus,Percent abundance,
D0,BB,Moraxella,42.49,
D0,BB,Actinobacillus,17.57,
D0,BB,Streptococcus,15.88,
D0,BB,Weeksellaceae_unclassified,6.61,
D0,BB,Neisseriaceae_unclassified,3.32,
D0,BB,Carnobacteriaceae_unclassified,3.18,
D0,BB,Bergeyella,1.33,
D0,BB,Prevotella_9,1.06,
D0,BB,Other,8.56,
D0,Control,Moraxella,37.84,
D0,Control,Actinobacillus,15.98,
D0,Control,Weeksellaceae_unclassified,10.87,
D0,Control,Streptococcus,10.03,
D0,Control,Neisseriaceae_unclassified,4.18,
D0,Control,Carnobacteriaceae_unclassified,3.09,
D0,Control,Lactobacillus,1.55,
D0,Control,Prevotella_9,1.48,
D0,Control,Other,14.98,
D1,BB,Moraxella,34.15,
D1,BB,Actinobacillus,23.33,
D1,BB,Streptococcus,14.71,
D1,BB,Weeksellaceae_unclassified,6.28,
D1,BB,Neisseriaceae_unclassified,5.08,
D1,BB,Carnobacteriaceae_unclassified,3.05,
D1,BB,Bergeyella,1.46,
D1,BB,Other,11.94,
D1,Control,Actinobacillus,31.51,
D1,Control,Moraxella,28.76,
D1,Control,Streptococcus,11.71,
D1,Control,Weeksellaceae_unclassified,9.22,
D1,Control,Neisseriaceae_unclassified,4.69,
D1,Control,Carnobacteriaceae_unclassified,2.66,
D1,Control,Other,11.45,
D3,BB,Moraxella,31.75,
D3,BB,Actinobacillus,17.57,
D3,BB,Streptococcus,10.75,
D3,BB,Weeksellaceae_unclassified,4.85,
D3,BB,Neisseriaceae_unclassified,3.17,
D3,BB,Bordetella,2.79,
D3,BB,Prevotella_9,2.58,
D3,BB,Staphylococcus,2.16,
D3,BB,Carnobacteriaceae_unclassified,1.66,
D3,BB,Escherichia-Shigella,1.50,
D3,BB,Empedobacter,1.29,
D3,BB,Lactobacillus,1.25,
D3,BB,Blautia,1.24,
D3,BB,Lactococcus,1.14,
D3,BB,Other,16.30,
D3,Control,Moraxella,36.10,
D3,Control,Actinobacillus,14.68,
D3,Control,Streptococcus,10.15,
D3,Control,Weeksellaceae_unclassified,7.50,
D3,Control,Neisseriaceae_unclassified,4.09,
D3,Control,Prevotella_9,3.69,
D3,Control,Carnobacteriaceae_unclassified,3.07,
D3,Control,Clostridium_sensu_stricto_1,1.47,
D3,Control,Blautia,1.06,
D3,Control,Other,18.19,
D7,BB,Moraxella,33.20,
D7,BB,Streptococcus,23.00,
D7,BB,Actinobacillus,15.14,
D7,BB,Bordetella,4.75,
D7,BB,Weeksellaceae_unclassified,3.13,
D7,BB,Neisseriaceae_unclassified,3.01,
D7,BB,Pasteurellaceae_unclassified,1.60,
D7,BB,Prevotella_9,1.57,
D7,BB,Carnobacteriaceae_unclassified,1.54,
D7,BB,uncultured,1.00,
D7,BB,Other,12.06,
D7,Control,Moraxella,37.18,
D7,Control,Actinobacillus,22.68,
D7,Control,Weeksellaceae_unclassified,9.60,
D7,Control,Streptococcus,8.79,
D7,Control,Neisseriaceae_unclassified,4.17,
D7,Control,Carnobacteriaceae_unclassified,3.90,
D7,Control,Chryseobacterium,1.24,
D7,Control,Prevotella_9,1.01,
D7,Control,Other,11.43,
D10,BB,Moraxella,35.63,
D10,BB,Streptococcus,17.46,
D10,BB,Actinobacillus,13.46,
D10,BB,Weeksellaceae_unclassified,7.05,
D10,BB,Neisseriaceae_unclassified,4.28,
D10,BB,Carnobacteriaceae_unclassified,2.14,
D10,BB,Prevotella_9,1.63,
D10,BB,Weissella,1.29,
D10,BB,Clostridium_sensu_stricto_1,1.18,
D10,BB,Empedobacter,1.02,
D10,BB,Chryseobacterium,1.01,
D10,BB,Other,13.85,
D10,Control,Moraxella,44.58,
D10,Control,Actinobacillus,12.26,
D10,Control,Streptococcus,10.74,
D10,Control,Weeksellaceae_unclassified,8.71,
D10,Control,Neisseriaceae_unclassified,4.52,
D10,Control,Carnobacteriaceae_unclassified,4.38,
D10,Control,Lactobacillus,1.78,
D10,Control,Prevotella_9,1.27,
D10,Control,Other,12.00,
D14,BB,Moraxella,53.60,
D14,BB,Streptococcus,8.36,
D14,BB,Weeksellaceae_unclassified,5.18,
D14,BB,Actinobacillus,3.37,
D14,BB,Chryseobacterium,3.01,
D14,BB,Carnobacteriaceae_unclassified,2.89,
D14,BB,Neisseriaceae_unclassified,2.46,
D14,BB,Empedobacter,1.90,
D14,BB,Prevotella_9,1.67,
D14,BB,Acinetobacter,1.26,
D14,BB,Enhydrobacter,1.17,
D14,BB,Clostridium_sensu_stricto_1,1.03,
D14,BB,Other,14.00,
D14,Control,Moraxella,41.39,
D14,Control,Weeksellaceae_unclassified,11.96,
D14,Control,Streptococcus,9.07,
D14,Control,Actinobacillus,5.43,
D14,Control,Neisseriaceae_unclassified,4.35,
D14,Control,Carnobacteriaceae_unclassified,4.19,
D14,Control,Prevotella_9,2.21,
D14,Control,Weissella,1.92,
D14,Control,Prevotellaceae_NK3B31_group,1.84,
D14,Control,Lactobacillus,1.58,
D14,Control,Clostridium_sensu_stricto_1,1.27,
D14,Control,Other,15.00,
D21,BB,Moraxella,36.95,
D21,BB,Streptococcus,9.82,
D21,BB,Weeksellaceae_unclassified,8.84,
D21,BB,Actinobacillus,8.05,
D21,BB,Carnobacteriaceae_unclassified,3.53,
D21,BB,Chryseobacterium,3.42,
D21,BB,Neisseriaceae_unclassified,3.36,
D21,BB,Clostridium_sensu_stricto_1,2.07,
D21,BB,Prevotellaceae_NK3B31_group,1.80,
D21,BB,Prevotella_9,1.77,
D21,BB,Empedobacter,1.61,
D21,BB,Terrisporobacter,1.22,
D21,BB,Enhydrobacter,1.12,
D21,BB,Other,16.00,
D21,Control,Moraxella,38.33,
D21,Control,Weeksellaceae_unclassified,11.88,
D21,Control,Streptococcus,10.51,
D21,Control,Carnobacteriaceae_unclassified,4.85,
D21,Control,Neisseriaceae_unclassified,4.35,
D21,Control,Actinobacillus,4.16,
D21,Control,Prevotella_9,3.61,
D21,Control,Prevotellaceae_NK3B31_group,2.05,
D21,Control,Chryseobacterium,1.63,
D21,Control,Clostridium_sensu_stricto_1,1.42,
D21,Control,Lactobacillus,1.19,
D21,Control,Terrisporobacter,1.02,
D21,Control,Other,15.00,
D28,BB,Moraxella,33.60,
D28,BB,Streptococcus,10.66,
D28,BB,Weeksellaceae_unclassified,9.27,
D28,BB,Prevotellaceae_NK3B31_group,7.29,
D28,BB,Prevotella_9,6.76,
D28,BB,Carnobacteriaceae_unclassified,4.40,
D28,BB,Neisseriaceae_unclassified,4.02,
D28,BB,Actinobacillus,3.43,
D28,BB,Prevotellaceae_unclassified,1.47,
D28,BB,Alloprevotella,1.34,
D28,BB,Lactobacillus,1.29,
D28,BB,Clostridium_sensu_stricto_1,1.24,
D28,BB,Phascolarctobacterium,1.02,
D28,BB,Lachnospiraceae_unclassified,1.01,
D28,BB,Other,13.20,
D28,Control,Moraxella,28.32,
D28,Control,Streptococcus,11.57,
D28,Control,Prevotellaceae_NK3B31_group,10.89,
D28,Control,Weeksellaceae_unclassified,9.04,
D28,Control,Neisseriaceae_unclassified,4.82,
D28,Control,Carnobacteriaceae_unclassified,3.34,
D28,Control,Prevotella_9,2.61,
D28,Control,Treponema_2,2.39,
D28,Control,Actinobacillus,2.29,
D28,Control,Empedobacter,2.24,
D28,Control,Prevotellaceae_unclassified,2.03,
D28,Control,Phascolarctobacterium,1.44,
D28,Control,Alloprevotella,1.43,
D28,Control,Clostridium_sensu_stricto_1,1.26,
D28,Control,Lactobacillus,1.08,
D28,Control,Lachnospiraceae_unclassified,1.05,
D28,Control,Other,14.20,
D36,BB,Moraxella,32.64,
D36,BB,Weeksellaceae_unclassified,9.15,
D36,BB,Streptococcus,7.35,
D36,BB,Prevotella_9,4.72,
D36,BB,Neisseriaceae_unclassified,4.48,
D36,BB,Carnobacteriaceae_unclassified,4.23,
D36,BB,Lactobacillus,4.23,
D36,BB,Megasphaera,3.58,
D36,BB,Prevotellaceae_NK3B31_group,2.64,
D36,BB,Empedobacter,1.96,
D36,BB,Clostridium_sensu_stricto_1,1.77,
D36,BB,Chryseobacterium,1.56,
D36,BB,Actinobacillus,1.52,
D36,BB,Enhydrobacter,1.29,
D36,BB,Alloprevotella,1.18,
D36,BB,Rothia,1.13,
D36,BB,Prevotellaceae_unclassified,1.10,
D36,BB,Other,15.47,
D36,Control,Moraxella,35.49,
D36,Control,Weeksellaceae_unclassified,13.23,
D36,Control,Streptococcus,8.96,
D36,Control,Neisseriaceae_unclassified,5.36,
D36,Control,Carnobacteriaceae_unclassified,5.32,
D36,Control,Prevotellaceae_NK3B31_group,4.46,
D36,Control,Chryseobacterium,1.82,
D36,Control,Clostridium_sensu_stricto_1,1.79,
D36,Control,Prevotella_9,1.47,
D36,Control,Rothia,1.20,
D36,Control,Lactobacillus,1.17,
D36,Control,Aerococcus,1.07,
D36,Control,Ruminococcaceae_UCG-005,1.04,
D36,Control,Other,17.62,
D42,BB,Moraxella,18.44,
D42,BB,Streptococcus,9.13,
D42,BB,Prevotellaceae_NK3B31_group,8.26,
D42,BB,Actinobacillus,6.18,
D42,BB,Lactobacillus,4.83,
D42,BB,Weeksellaceae_unclassified,4.30,
D42,BB,Neisseriaceae_unclassified,3.32,
D42,BB,Treponema_2,3.14,
D42,BB,Carnobacteriaceae_unclassified,2.52,
D42,BB,Lactococcus,2.51,
D42,BB,Aerococcus,2.34,
D42,BB,Lachnospiraceae_unclassified,2.14,
D42,BB,Prevotella_9,2.14,
D42,BB,Clostridium_sensu_stricto_1,1.80,
D42,BB,Weissella,1.79,
D42,BB,Prevotellaceae_unclassified,1.67,
D42,BB,Rikenellaceae_RC9_gut_group,1.48,
D42,BB,Lachnospiraceae_XPB1014_group,1.39,
D42,BB,Kurthia,1.22,
D42,BB,Leuconostoc,1.07,
D42,BB,Corynebacterium_1,1.06,
D42,BB,Phascolarctobacterium,1.04,
D42,BB,Staphylococcus,1.03,
D42,BB,Other,17.20,
D42,Control,Moraxella,29.53,
D42,Control,Streptococcus,11.14,
D42,Control,Prevotellaceae_NK3B31_group,8.67,
D42,Control,Weeksellaceae_unclassified,6.48,
D42,Control,Lactobacillus,4.14,
D42,Control,Neisseriaceae_unclassified,3.50,
D42,Control,Treponema_2,2.39,
D42,Control,Carnobacteriaceae_unclassified,2.21,
D42,Control,Actinobacillus,2.04,
D42,Control,Lachnospiraceae_unclassified,1.86,
D42,Control,Clostridium_sensu_stricto_1,1.82,
D42,Control,Prevotella_9,1.75,
D42,Control,Weissella,1.56,
D42,Control,Phascolarctobacterium,1.42,
D42,Control,Ruminococcaceae_UCG-005,1.23,
D42,Control,Prevotellaceae_UCG-003,1.08,
D42,Control,Lachnospiraceae_AC2044_group,1.03,
D42,Control,Lactococcus,1.01,
D42,Control,Other,17.14,