Day,Treatment,F.Model,R2,p.value,p.adjusted,p.adjusted2
0,BB,1.720587206,0.087248275,0.12,0.12,NA
1,BB,1.749353536,0.093302072,0.109,0.12,NA
3,BB,2.004173601,0.105459656,0.067,0.08375,NA
7,BB,4.976469137,0.237240553,0.001,0.005,0.005
10,BB,2.822153409,0.135536097,0.024,0.034285714,0.034
14,BB,5.695311789,0.24035606,0.002,0.005,0.005
21,BB,3.037554281,0.144387234,0.001,0.005,0.005
28,BB,2.625900703,0.179537709,0.002,0.005,0.005
36,BB,4.075313614,0.184609546,0.007,0.014,0.014
42,BB,3.019129518,0.143637229,0.013,0.021666667,0.022